1,The Datadog Agent is a software that runs on your hosts,agent
2,"The Datadog Agent is open-source, and its source code is available on GitHub at DataDog/datadog-agent.",agent
3,It is recommended to fully install the Agent,agent
4,This package is used in containerized environments where DogStatsD runs as a sidecar or environments running a DogStatsD server without full Agent functionality.,agent
5,The standalone DogStatsD package is installed with the Agent one-line install command except every occurrence of datadog-agent should be replaced with datadog-dogstatsd,agent
6,"Datadog recommends you update Datadog Agent with every minor and patch release, or, at a minimum, monthly.",agent
7,Upgrading to a major Datadog Agent version and keeping it updated is the only supported way to get the latest Agent functionality and fixes,agent
8,"The Agent has frequent update releases, though, and managing updates at enterprise scale can be challenging",agent
9,"To update the Datadog Agent core between two minor versions on a given host, run the corresponding install command for your platform.",agent
10,Datadog Agent release numbering follows SemVer rules.,agent
11,By default the Agent binds 3 ports on Linux and 4 on Windows and OSX:,agent
12,The Agent forwarder send metrics over HTTPS to Datadog,agent
13,"Note: For Windows users, all four Agent processes appear as instances of ddagent.exe with the description DevOps best friend.",agent
14,The Agent configuration resides at /etc/dd-agent/datadog.conf and /etc/dd-agent/conf.d,agent
15,All listening processes are bound by default to 127.0.0.1 and/or ::1 on v3.4.1+ of the Agent,agent
16,For information on running the Agent through a proxy see Agent proxy configuration,agent
17,"When the Agent is running, use the datadog-agent launch-gui command to open the GUI in your default web browser.",agent
18,Note: The Agent GUI isn't supported on 32-bit Windows platforms.,agent
19,"For security reasons, the GUI can only be accessed from the local network interface (localhost/127.0.0.1), therefore you must be on the same host that the Agent is running",agent
20,"That is, you cannot run the Agent on a VM or a container and access it from the host machine.",agent
21,"With Agent v6+, the command line interface is based on subcommands",agent
22,Enabling more integrations may increase Agent resource consumption.,agent
23,Enabling JMX Checks forces the Agent to use more memory depending on the number of beans exposed by the monitored JVMs,agent
24,"Note: Since v5.15 of the container Agent, it is recommended to set container resources to at least 256MB due to an added memory cache – upping the limit is not to account for baseline usage but rather to accommodate temporary spikes",agent
25,"To manually update the Datadog Agent core between two minor versions on a given host, run the corresponding install command for your platform.",agent
26,Note: If you want to manually update one specific Agent integration refer to the Integration Management guide.,agent
27,See the dedicated documentation for Agent configuration files.,agent
28,"Edit the Agent's main configuration file, datadog.yaml, to set the site parameter (defaults to datadoghq.com).",agent
29,See the dedicated documentation for Agent log files,agent
30,The Datadog IoT Agent is a version of the Agent optimized for monitoring IoT devices and embedded applications,agent
31,Customers use the IoT Agent to monitor a wide variety of devices from digital displays to security devices running image detection algorithms.,agent
32,The IoT Agent does not include the Python interpreter and other integrations pre-packaged with the standard Agent,agent
33,"The IoT Agent is available as DEB and RPM packages for Linux devices running on x64, arm64 (ARMv8), and ARMv7 architectures.",agent
34,The IoT Agent is built to have a minimal footprint and consume minimal network bandwidth.,agent
35,"To automatically download and install the correct IoT Agent for your operating system and chipset architecture, use the following command:",agent
36,The IoT Agent supports the same CLI commands as the standard Agent.,agent
37,"Run the Datadog Agent in your Kubernetes cluster as a DaemonSet in order to start collecting your cluster and applications metrics, traces, and logs",agent
38,Note: Agent version 6.0 and above only support versions of Kubernetes higher than 1.7.6,agent
39,Take advantage of DaemonSets to deploy the Datadog Agent on all your nodes (or on specific nodes by using nodeSelectors).,agent
40,"Configure Agent permissions: If your Kubernetes has role-based access control (RBAC) enabled, configure RBAC permissions for your Datadog Agent service account",agent
41,The Datadog Agent and Cluster Agent can be configured to retrieve Kubernetes resources for Live Containers,agent
42,"Once the Agent is up and running in your cluster, use Datadog's Autodiscovery feature to collect metrics and logs automatically from your pods.",agent
43,Find below the list of environment variables available for the Datadog Agent,agent
44,"Starting with Agent v6.4.0 (and v6.5.0 for the Trace Agent), you can override the Agent proxy settings with the following environment variables:",agent
45,"For more information about proxy settings, see the Agent v6 Proxy documentation.",agent
46,Optional collection Agents are disabled by default for security or performance reasons,agent
47,"To enable the Live Container view, make sure you are running the process agent in addition to setting DD_PROCESS_AGENT_ENABLED to true.",agent
48,See the Agent Commands guides to discover all the Docker Agent commands.,agent
49,Customers can send data to the Datadog service by using a locally installed Agent or through our HTTP API,agent
50,"While use of Datadog does not strictly require use of the Datadog Agent, the vast majority of customers leverage the Agent",agent
51,The official repositories and/or binary packages of the Agent are signed,agent
52,The Datadog Agent submits data to Datadog over a TLS-encrypted TCP connection by default,agent
53,"As of version 6, the Agent can be configured to enforce TLS 1.2 when connecting to Datadog",agent
54,"Customers who require the use of strong cryptography  for example, to meet PCI requirements, should use Agent v6 and set the force_tls_12: true setting in the Agent's configuration file.",agent
55,Traffic is always initiated by the Agent to Datadog via TLS-encrypted TCP connection by default,agent
56,No sessions are ever initiated from Datadog back to the Agent,agent
57,See the Agent's Network page for more information on configuring firewalls to whitelist the required Datadog domains and ports,agent
58,The Datadog Agent generates local logs in order to support Agent troubleshooting as required,agent
59,Agent v6 exposes a local HTTPS API to ease communication between a running Agent and Agent tools (e.g,agent
60,"The API server can only be accessed from the local network interface (localhost/127.0.0.1), and authentication is enforced through a token that’s only readable by the user that the Agent runs as",agent
61,"The GUI is launched only if the user launching it has the correct user permissions, including the ability to open the Agent's configuration file",agent
62,"Regarding its Container Agent specifically, Datadog performs regular vulnerability static analysis using clair by CoreOS and snyk.io",agent
63,"Additionally, Datadog leverages security scanning as part of its releases of the Container Agent to the Docker Trusted Registry, as well as the Red Hat Container Catalog",agent
64,"By default, the Agent runs as the dd-agent user on Linux and as the ddagentuser account on Windows",agent
65,Customers with a requirement to avoid storing secrets in plaintext in the Agent's configuration files can leverage the secrets management package,agent
66,"This package allows the Agent to call a user-provided executable to handle retrieval or decryption of secrets, which are then loaded in memory by the Agent",agent
67,"Datadog's Logging without Limits lets you dynamically decide what to include or exclude from your indexes for storage and query, at the same time many types of logs are meant to be used for telemetry to track trends, such as KPIs, over long periods of time",logs
68,Log-based metrics are a cost-efficient way to summarize log data from the entire ingest stream,logs
69,"This means that even if you use exclusion filters to limit what you store for exploration, you can still visualize trends and anomalies over all of your log data at 10s granularity for 15 months.",logs
70,"With log-based metrics, you can generate a count metric of logs that match a query or a distribution metric of a numeric value contained in the logs, such as request duration.",logs
71,"To generate a new log-based metric, go to the Configuration page of your Datadog account and select the Generate Metrics tab, then the New Metric+ button.",logs
72,Note: Data points for Log-based metrics are generated at ten second intervals.,logs
73,Log Management usage metrics come with three tags that can be used for more granular monitoring:,logs
74,"An extra status tag is available on the datadog.estimated_usage.logs.ingested_events metric to reflect the log status (info, warning, etc.).",logs
75,"Sometimes, your infrastructure may generate a volume of log events that is too large or has significant fluctuations",logs
76,"In this situation, you may need to choose which logs to send to a log management solution, and which logs to archive",logs
77,"Filtering your logs before sending them, however, may lead to gaps in coverage or the accidental removal of valuable data.",logs
78,"Datadog Log Management removes these limitations by decoupling log ingestion from indexing. This enables you to cost-effectively collect, process, archive, explore, and monitor all your logs with no log limits.",logs
79,Logging without Limits* also powers Datadog's Security Monitoring by not requiring you to index your logs to detect security threats in your environment.,logs
80,"Log Collection & Integrations: Begin ingesting logs from your hosts, containers, cloud providers, and other sources.",logs
81,"Log Configuration: Process and enrich all your logs with pipelines and processors, provide control of your log management budget with indexes, generate metrics from ingested logs, or manage your logs within storage-optimized archives.",logs
82,"The Log Management product supports multiple environments and formats, allowing customers the flexibility to submit to Datadog nearly any data they choose",logs
83,This article describes the main security guarantees and filtering controls available to users when submitting logs to Datadog.,logs
84,"The Datadog Agent submits logs to datadog either through HTTPS or through TLS-encrypted TCP connection on port 10516, requiring outbound communication (see Agent Transport for logs).",logs
85,Datadog uses symmetric encryption at rest (AES-256) for indexed logs,logs
86,"Indexed logs are deleted from the Datadog platform once their retention period, as defined by the customer, expires.",logs
87,"For customers using release 6 or above, the Agent can be configured to filter logs sent by the Agent to the Datadog application",logs
88,"To prevent the submission of specific logs, use the log_processing_rules setting, with the exclude_at_match or include_at_match type",logs
89,"This setting enables the creation of a list containing one or more regular expressions, which instructs the Agent to filter out logs based on the inclusion or exclusion rules supplied.",logs
90,"For customers using release 6, the Agent can be configured to obfuscate specific patterns within logs sent by the Agent to the Datadog application",logs
91,"To mask sensitive sequences within your logs, use the log_processing_rules setting, with the mask_sequences type",logs
92,"This setting enables the creation of a list containing one or more regular expressions, which instructs the Agent to redact sensitive data within your logs.",logs
93,Datadog will sign a Business Associate Agreement (BAA) with customers that transmit protected health information (ePHI) via Datadog’s Log Management Service.,logs
94,"If you have any questions about how the Log Management Service satisfies the applicable requirements under HIPAA, contact your account manager.",logs
95,"Previously, HIPAA-enabled customers needed to use specific endpoints to submit logs in order to enforce specific encryptions",logs
96,The encryptions are enabled on all log submission endpoints.,logs
